dataset,num_blocks,embed_dim,pretrained_source,type,batch_size,update_iters,repeat_idx,data_aug,acc,ece,nll,time_taken
cifar10,6,512,in21k,ibprobit,512,8,76,False,0.8434999585151672,0.0099240308627486,0.5258287191390991,5.715772390365601
cifar10,6,512,in21k,ibprobit,512,8,25,False,0.8446999788284302,0.0128878690302371,0.5269923806190491,5.5590980052948
cifar10,6,512,in21k,ibprobit,512,8,32,False,0.8449999690055847,0.0135429883375763,0.5295795798301697,5.587023735046387
cifar10,6,512,in21k,ibprobit,512,8,42,False,0.8476999998092651,0.0151136657223105,0.5197885632514954,5.685965299606323
cifar10,6,512,in21k,ibprobit,512,8,82,False,0.847599983215332,0.0126133868470788,0.5210782289505005,5.665547609329224
cifar10,6,512,in21k,ibprobit,512,8,92,False,0.8474999666213989,0.0146637028083205,0.5209545493125916,5.693171739578247
cifar10,6,512,in21k,ibprobit,512,8,39,False,0.8449999690055847,0.0105664385482668,0.5170062184333801,5.568180084228516
cifar10,6,512,in21k,ibprobit,512,8,7,False,0.8488999605178833,0.0159380063414573,0.5202643275260925,5.583676815032959
cifar10,6,512,in21k,ibprobit,512,8,41,False,0.8441999554634094,0.0102778561413288,0.5255677700042725,5.575597286224365
cifar10,6,512,in21k,ibprobit,512,8,63,False,0.8481999635696411,0.0132649410516023,0.5195088982582092,5.530380010604858
cifar10,6,512,in21k,ibprobit,512,8,80,False,0.8453999757766724,0.0111461104825139,0.5237072706222534,5.536771059036255
cifar10,6,512,in21k,ibprobit,512,8,62,False,0.8491999506950378,0.0155715458095073,0.5192300081253052,5.700566291809082
cifar10,6,512,in21k,ibprobit,512,8,6,False,0.8461999893188477,0.0131318774074316,0.5184140205383301,5.636956691741943
cifar10,6,512,in21k,ibprobit,512,8,21,False,0.8438000082969666,0.0131757967174053,0.5260767340660095,5.693422794342041
cifar10,6,512,in21k,ibprobit,512,16,88,False,0.8377999663352966,0.0270523596554994,0.5255370736122131,5.623206615447998
cifar10,6,512,in21k,ibprobit,512,16,73,False,0.840999960899353,0.028103083372116,0.518349289894104,5.740342378616333
cifar10,6,512,in21k,ibprobit,512,16,90,False,0.8382999897003174,0.0239744670689106,0.5320543050765991,5.852465867996216
cifar10,6,512,in21k,ibprobit,512,16,93,False,0.8394999504089355,0.0267964396625757,0.5308212637901306,5.689378261566162
cifar10,6,512,in21k,ibprobit,512,16,87,False,0.8406999707221985,0.0286584459245204,0.5265741944313049,5.661426782608032
cifar10,6,512,in21k,ibprobit,512,16,13,False,0.8362999558448792,0.0280142184346914,0.5319588780403137,5.785155296325684
cifar10,6,512,in21k,ibprobit,512,16,0,False,0.8391000032424927,0.0228685066103935,0.5281188488006592,5.749614000320435
cifar10,6,512,in21k,ibprobit,512,16,53,False,0.8349999785423279,0.0248824656009674,0.5259066820144653,5.791530609130859
cifar10,6,512,in21k,ibprobit,512,16,18,False,0.8410999774932861,0.0245387014001607,0.5243051648139954,5.493977785110474
cifar10,6,512,in21k,ibprobit,512,16,20,False,0.8392999768257141,0.0242011211812496,0.5214048624038696,5.8113861083984375
cifar10,6,512,in21k,ibprobit,512,16,16,False,0.8402999639511108,0.0268947836011648,0.5265389680862427,5.719407320022583
cifar10,6,512,in21k,ibprobit,512,16,76,False,0.8413999676704407,0.025774922221899,0.5271927714347839,5.773827314376831
cifar10,6,512,in21k,ibprobit,512,16,25,False,0.8375999927520752,0.0258924067020416,0.5294422507286072,5.793298959732056
cifar10,6,512,in21k,ibprobit,512,16,32,False,0.8344999551773071,0.0297488905489444,0.5271451473236084,5.775219202041626
cifar10,6,512,in21k,ibprobit,512,16,42,False,0.8375999927520752,0.0285951625555753,0.5266948938369751,5.587368488311768
cifar10,6,512,in21k,ibprobit,512,16,82,False,0.8384999632835388,0.0279993470758199,0.5298247933387756,5.587785005569458
cifar10,6,512,in21k,ibprobit,512,16,92,False,0.835099995136261,0.0289698261767625,0.527898907661438,5.7368128299713135
cifar10,6,512,in21k,ibprobit,512,16,39,False,0.833899974822998,0.0300559103488922,0.5437057614326477,5.811272859573364
cifar10,6,512,in21k,ibprobit,512,16,7,False,0.8389999866485596,0.0275256410241127,0.5229498744010925,5.666889905929565
cifar10,6,512,in21k,ibprobit,512,16,41,False,0.8407999873161316,0.0249155070632696,0.5289129018783569,5.756392955780029
cifar10,6,512,in21k,ibprobit,512,16,63,False,0.8349999785423279,0.0310702603310346,0.5342399477958679,5.585248708724976
cifar10,6,512,in21k,ibprobit,512,16,80,False,0.840499997138977,0.0254509150981903,0.5248216390609741,5.719791650772095
cifar10,6,512,in21k,ibprobit,512,16,62,False,0.8370999693870544,0.0283335857093334,0.5255534052848816,5.626437664031982
cifar10,6,512,in21k,ibprobit,512,16,6,False,0.8436999917030334,0.0247698239982128,0.523115873336792,5.665464639663696
cifar10,6,512,in21k,ibprobit,512,16,21,False,0.8374999761581421,0.0283697061240673,0.5273464918136597,5.665537357330322
cifar10,6,512,in21k,ibprobit,512,32,88,False,0.8328999876976013,0.0479119047522544,0.5399021506309509,5.886681318283081
cifar10,6,512,in21k,ibprobit,512,32,73,False,0.8346999883651733,0.0463364347815513,0.5532827973365784,5.751118183135986
